"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
62,34,89,18,29,23,57,82,55,2,29,44,57,19,2,31,45,56,41,20
12,76,14,44,51,31,67,44,73,19,6,78,28,61,92,50,52,65,36,87
16,12,53,13,59,90,12,79,85,67,34,18,19,2,71,50,68,57,3,46
16,94,71,69,17,62,8,2,38,31,57,34,10,36,57,18,42,41,75,23
27,16,19,87,90,73,66,98,89,16,85,64,46,45,80,47,8,60,41,38
29,54,6,56,50,62,92,17,3,27,17,34,85,60,56,34,77,92,3,14
80,17,50,70,34,21,69,66,70,77,89,10,20,91,31,50,59,13,59,8
46,62,65,28,96,10,20,35,17,12,18,72,65,62,34,52,92,45,27,85
47,44,63,62,91,49,99,74,19,85,94,40,16,49,28,45,78,81,24,1
59,75,48,52,31,81,52,42,10,33,75,55,88,83,24,67,94,95,54,36
