"minute","x","Control","A","B","w","n","a"
1,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
2,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
3,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
4,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
5,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
6,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
7,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
8,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
9,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
10,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
11,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
12,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
13,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
14,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
15,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
16,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
17,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
18,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
19,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
20,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
21,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
22,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
23,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
24,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
25,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
26,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
27,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
28,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
29,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
30,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
31,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
32,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
33,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
34,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
35,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
36,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
37,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
38,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
39,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
40,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
41,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
42,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
43,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
44,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
45,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
46,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
47,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
48,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
49,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
